ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumBytes;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
89;2020-09-13 08:17:48;27;0.7837499976158142;37642;144; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
90;2020-09-13 08:20:00;20;0.7854999899864197;37642;144; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
91;2020-09-13 08:23:28;31;0.7942500114440918;37642;144; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
92;2020-09-13 08:26:56;31;0.7928749918937683;37642;144; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
93;2020-09-13 08:30:26;31;0.7831875085830688;37642;144; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
94;2020-09-13 08:34:57;40;0.7794374823570251;37642;144; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
95;2020-09-13 08:40:31;50;0.7906249761581421;37642;144; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
96;2020-09-13 08:46:11;50;0.7862499952316284;37642;144; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
97;2020-09-13 08:51:52;50;0.7440000176429749;37642;144; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
98;2020-09-13 08:57:32;50;0.7421875;37642;144; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
99;2020-09-13 09:03:14;50;0.7131875157356262;37642;144; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
100;2020-09-13 09:08:54;50;0.6698125004768372;37642;144; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
101;2020-09-13 09:11:12;20;0.7194374799728394;44810;256; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
102;2020-09-13 09:14:32;29;0.7291874885559082;44810;256; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
103;2020-09-13 09:17:15;24;0.5878124833106995;44810;256; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
